CLIENTNUM;Customer_Age;Gender;Education_Level;Marital_Status;Income_Category;Card_Category;Credit_Limit;Total_Revolving_Bal;Avg_Utilization_Ratio,;;;;;;;;;;
;45;M;High School;Married;$60K - $80K;Blue;12691;777;0.061,;;;;;;;;;;
818770008;49;F;Graduate;Single;Less than $40K;Blue;8256;864;0.105,;;;;;;;;;;
713982108;51;M;Graduate;Married;$80K - $120K;Blue;3418;0;0,;;;;;;;;;;
769911858;40;F;High School;Unknown;Less than $40K;Blue;3313;2517;0.76,;;;;;;;;;;
709106358;40;M;Uneducated;Married;$60K - $80K;Blue;4716;0;0,;;;;;;;;;;
713061558;44;M;Graduate;Married;$40K - $60K;Blue;4010;1247;0.311,;;;;;;;;;;
810347208;51;M;Unknown;Married;$120K +;Gold;34516;2264;0.066,;;;;;;;;;;
818906208;32;M;High School;Unknown;$60K - $80K;Silver;29081;1396;0.048,;;;;;;;;;;
710930508;37;M;Uneducated;Single;43;Blue;22352;2517;0.113,;;;;;;;;;;
719661558;48;M;Graduate;Single;$80K - $120K;Blue;11656;1677;0.144,;;;;;;;;;;
708790833;42;M;Uneducated;Unknown;$120K +;Blue;6748;1467;0.217,;;;;;;;;;;
710821833;65;M;Unknown;Married;$40K - $60K;Blue;9095;1587;0.174,;;;;;;;;;;
710599683;56;M;College;Single;$80K - $120K;Blue;11751;0;0,;;;;;;;;;;
816082233;35;M;Graduate;Unknown;$60K - $80K;Blue;8547;1666;0.195,;;;;;;;;;;
712396908;57;F;Graduate;Married;Less than $40K;Blue;2436;680;0.279,;;;;;;;;;;
714885258;44;M;Unknown;Unknown;$80K - $120K;Blue;4234;972;0.23,;;;;;;;;;;
709967358;48;M;Post-Graduate;Single;$80K - $120K;Blue;30367;2362;0.078,;;;;;;;;;;
753327333;41;M;Unknown;Married;$80K - $120K;Blue;13535;1291;0.095,;;;;;;;;;;
806160108;61;M;High School;Married;$40K - $60K;Blue;3193;2517;0.788,;;;;;;;;;;
709327383;45;F;Graduate;Married;Unknown;Blue;14470;1157;0.08,;;;;;;;;;;
806165208;47;M;Doctorate;Divorced;$60K - $80K;Blue;20979;1800;0.086,;;;;;;;;;;
708508758;62;F;Graduate;Married;Less than $40K;Blue;1438.3;0;0,;;;;;;;;;;
784725333;41;M;High School;Married;$40K - $60K;Blue;4470;680;0.152,;;;;;;;;;;
811604133;47;F;Unknown;Single;Less than $40K;Blue;2492;1560;0.626,;;;;;;;;;;
789124683;54;M;Unknown;Married;$80K - $120K;Blue;12217;0;0,;;;;;;;;;;
771071958;41;F;Graduate;Single;Less than $40K;Blue;7768;1669;0.215,;;;;;;;;;;
720466383;59;M;High School;Unknown;$40K - $60K;Blue;14784;1374;0.093,;;;;;;;;;;
804424383;63;M;Unknown;Married;$60K - $80K;Blue;10215;1010;0.099,;;;;;;;;;;
718813833;44;F;Uneducated;Single;Unknown;Blue;10100;0;0,;;;;;;;;;;
806624208;47;M;High School;Married;$40K - $60K;Blue;4785;1362;0.285,;;;;;;;;;;
778348233;53;M;Unknown;Married;$80K - $120K;Blue;2753;1811;0.658,;;;;;;;;;;
712991808;53;M;Uneducated;Married;$60K - $80K;Blue;2451;1690;0.69,;;;;;;;;;;
709029408;41;M;Graduate;Married;$60K - $80K;Blue;8923;2517;0.282,;;;;;;;;;;
788658483;53;F;College;Married;Less than $40K;Blue;2650;1490;0.562,;;;;;;;;;;
787937058;58;M;Graduate;Married;$80K - $120K;Blue;12555;1696;0.135,;;;;;;;;;;
715318008;55;F;College;Single;Less than $40K;Blue;3520;1914;0.544,;;;;;;;;;;
713962233;55;F;Graduate;Married;Less than $40K;Blue;3035;2298;0.757,;;;;;;;;;;
785432733;42;F;High School;Married;Less than $40K;Gold;15433;0;0,;;;;;;;;;;
715190283;57;F;Graduate;Unknown;$40K - $60K;Blue;3672;886;0.241,;;;;;;;;;;
708300483;66;F;Doctorate;Married;Unknown;Blue;7882;605;0.077,;;;;;;;;;;
827111283;45;M;Graduate;Single;$80K - $120K;Blue;32426;578;0.018,;;;;;;;;;;
