CLIENTNUM;Customer_Age;Gender;Marital_Status;Education_Level;Income_Category;Card_Category;Credit_Limit;Total_Revolving_Bal;Avg_Utilization_Ratio
1;54;F;Married;Educated;$120K +;Blue;33791;1960;0.058
2;43;M;Married;College;$120K +;Silver;34516;1699;0.049
3;41;M;Married;Educated;$120K +;Blue;15911;896;0.056
4;43;M;Uneducated;Divorced;$120K +;Silver;34516;1938;0.056
5;57;M;Post-Graduate;Divorced;$120K +;Blue;26437;1472;0.056
6;40;M;Graduate;Divorced;$120K +;Blue;25188;1295;0.051
7;50;M;High School;Divorced;$120K +;Blue;3073;1792;0.583
8;48;M;Doctorate;Divorced;$120K +;Blue;34516;2517;0.073
9;30;M;Educated;Divorced;$120K +;Blue;1548;67876;0.678
10;36;M;High School;Divorced;$120K +;Blue;3404;1568;0.461
11;37;M;High School;Divorced;$120K +;Blue;3497;1665;0.476
12;36;M;Single;Educated;$120K +;Blue;1651;770;0.466
13;34;M;Uneducated;Divorced;$120K +;Blue;9180;1814;0.198
14;36;M;Doctorate;Divorced;$120K +;Blue;34516;1491;0.043
15;36;M;Uneducated;Divorced;$120K +;Blue;5260;1116;0.212
16;46;M;Unknown;Divorced;$120K +;Blue;16284;0;0
17;52;M;High School;Divorced;$120K +;Blue;31945;1591;0.05
18;47;M;Uneducated;Divorced;$120K +;Silver;34516;0;0
19;52;M;Uneducated;Divorced;$120K +;Blue;29695;1525;0.051
20;46;M;Graduate;Divorced;$120K +;Blue;2016;797;0.395
21;55;M;High School;Divorced;$120K +;Blue;34516;1190;0.034
22;52;M;Unknown;Divorced;$120K +;Blue;2717;1953;0.719
23;54;M;Post-Graduate;Divorced;$120K +;Blue;5569;968;0.174
24;55;M;College;Divorced;$120K +;Blue;26729;1052;0.039
25;44;M;Graduate;Divorced;$120K +;Blue;24016;0;0
26;52;M;Graduate;Divorced;$120K +;Silver;34516;1230;0.036
27;51;M;Uneducated;Divorced;$120K +;Blue;23898;0;0
28;51;M;Uneducated;Divorced;$120K +;Blue;30560;0;0
29;41;M;Post-Graduate;Divorced;$120K +;Blue;3491;2506;0.718
30;46;M;High School;Divorced;$120K +;Blue;6457;0;0
31;43;M;College;Divorced;$120K +;Blue;34516;0;0
32;53;M;Uneducated;Divorced;$120K +;Blue;26129;1752;0.067
33;53;M;Uneducated;Divorced;$120K +;Blue;22664;0;0
34;49;M;College;Divorced;$120K +;Blue;7184;1207;0.168
35;55;M;Unknown;Divorced;$120K +;Blue;24250;278;0.011
36;50;M;Graduate;Divorced;$120K +;Blue;1656;0;0
37;44;M;Uneducated;Divorced;$120K +;Blue;11362;0;0
38;51;M;Graduate;Divorced;$120K +;Blue;2792;887;0.318
39;40;M;Unknown;Divorced;$120K +;Blue;1438.3;0;0
40;56;M;Graduate;Divorced;$120K +;Blue;3296;1435;0.435
41;40;M;Graduate;Divorced;$120K +;Blue;34516;0;0
42;57;M;Unknown;Divorced;$120K +;Blue;24379;1116;0.046
43;43;M;Unknown;Divorced;$120K +;Blue;34516;2517;0.073
44;53;M;High School;Divorced;$120K +;Blue;34516;1337;0.039
45;46;M;Doctorate;Divorced;$120K +;Blue;34516;1802;0.052
46;55;M;High School;Divorced;$120K +;Blue;16828;2517;0.15
47;56;M;Uneducated;Divorced;$120K +;Blue;3730;0;0
48;45;M;High School;Divorced;$120K +;Blue;5287;0;0
49;57;M;Unknown;Divorced;$120K +;Blue;13694;2219;0.162
50;46;M;High School;Divorced;$120K +;Blue;3569;1553;0.435
51;51;M;Graduate;Divorced;$120K +;Blue;34516;0;0
52;46;M;High School;Divorced;$120K +;Blue;3659;1381;0.377
53;45;F;Graduate;Divorced;$40K - $60K;Blue;10400;1777;0.171
54;48;F;Graduate;Divorced;$40K - $60K;Blue;2115;1141;0.539
55;47;F;Unknown;Divorced;$40K - $60K;Blue;3502;1851;0.529
56;48;F;High School;Divorced;$40K - $60K;Blue;1919;774;0.403
57;48;F;College;Divorced;$40K - $60K;Blue;9336;1672;0.179
